SimpleName,BasicCode,SampleCode,CaseCode,StructureCode,StructureNo,Structure,Material,Description,Layers,Treatment,Thickness,Weight,PressureDrop,Quality,Filt1,Filt2,Filt3,Filt4,Filt5,Filt6,Filt7,Filt8,Filt9,Filt10,Filt11,Filt12,Filt13,Filt14,Filt15,Filt16,Wetting__MassChange_
"Gauze",W1,W1x16,W1x16,W,1,Woven,"Cotton-based","Medical gauze",16,None,4,609,4,56,0.95,0.94,0.93,0.91,0.86,0.85,0.84,0.84,0.8,0.75,0.7,0.67,0.68,0.58,NaN,0,
"Batik cotton",W2,W2,W2,W,1,Woven,"Cotton-based","Lightweight, fine-gauge, plain weave, light green",1,None,0.3,123,60,8,0.99,0.97,0.93,0.89,0.83,0.75,0.7,0.66,0.6,0.55,0.47,0.39,0.33,0.18,0,0,
"Downproof cotton",W3,W3,W3,W,1,Woven,"Cotton-based","Lightweight, fine-gauge plain weave, downproof ticking, white",1,None,NaN,144,169,6,1.01,0.96,0.85,0.74,0.64,0.51,0.44,0.41,0.38,0.33,0.32,0.3,0.36,0.43,0,NaN,
"Flannel",W4,W4,W4,W,1,Woven,"Cotton-based","Cotton, medium weight, woven brushed, grey",1,None,NaN,NaN,27,19.8381756549986,0.8987,0.8833,0.8563,0.8417,0.808,0.7617,0.708,0.6543,0.5853,0.5027,0.3773,0.3347,0.1977,0.0833,0,0,
"Flannel",W4,W4,W4 IPAx1,W,1,Woven,"Cotton-based","Cotton, medium weight, woven brushed, grey",1,IPA,NaN,NaN,26.6667,22.8508834925305,0.816,0.7947,0.767,0.749,0.7303,0.673,0.6363,0.5953,0.5437,0.4467,0.374,0.227,0.219,0.0417,0,0,
"Flannel",W4,W4x3,W4x3,W,1,Woven,"Cotton-based","Cotton, medium weight, woven brushed, grey",3,None,NaN,453,33,22,0.89,0.88,0.82,0.78,0.72,0.63,0.58,0.55,0.49,0.41,0.31,0.22,0.11,0,0,0,
"Quilting cotton",W5,W5,W5,W,1,Woven,"Cotton-based","Lightweight, plain weave, green",1,None,0.26,105,5,9,1.01,1.02,1.01,1.02,1.01,1,0.98,0.98,0.96,0.92,0.91,0.84,0.86,0.29,0,0,143%
"Quilting cotton",W5,W5,W5 WDx10,W,1,Woven,"Cotton-based","Lightweight, plain weave, green",1,Laundered,NaN,105,10,20,0.99,0.99,0.97,0.96,0.94,0.91,0.87,0.86,0.82,0.76,0.64,0.57,0.39,0.35,0,0,
"Cotton, 600TC",W6,W6,W6,W,1,Woven,"Cotton-based","Medium weight, plain weave, white",1,None,0.25,121,35,12,1.01,1,0.97,0.94,0.9,0.82,0.76,0.72,0.66,0.57,0.47,0.37,0.34,0.2,0.4,0,
"Spandex cotton, thick",W7,W7,W7,W,1,Woven,"Cotton spandex","Cotton and spandex blend, medium weight, plain weave, black",1,None,NaN,140,65,10,1,0.98,0.93,0.87,0.81,0.7,0.64,0.6,0.54,0.46,0.39,0.36,0.35,0.28,0,0,
"Spandex cotton, thin",W8,W8,W8,W,1,Woven,"Cotton spandex","Cotton and spandex blend, lightweight, plain weave, plaid",1,None,0.27,144,64,10,1.02,1.02,0.96,0.91,0.84,0.71,0.64,0.59,0.51,0.41,0.33,0.25,0.23,0.16,0.09,0,
"Polyester satin",W9,W9,W9,W,1,Woven,"Polyester","Lightweight, fine-gauge, satin weave, purple",1,None,0.23,86,10,14,1,1.01,1,0.98,0.97,0.94,0.91,0.89,0.87,0.79,0.72,0.69,0.48,0.57,0,0,101%
"Polyester satin",W9,W9,W9 WDx10,W,1,Woven,"Polyester","Lightweight, fine-gauge, satin weave, purple",1,Laundered,NaN,86,5,26,0.98,0.97,0.95,0.94,0.92,0.91,0.9,0.89,0.88,0.83,0.8,0.73,0.51,0.69,0.5,0,
"Polyester peel ply",W10,W10,W10,W,1,Woven,"Polyester","Unknown biocompatibility",1,None,0.07,65,64,0,1.01,1.01,1.01,1.02,1.04,1.01,0.99,1,1,0.97,0.97,0.83,0.76,1.19,0.29,0.4,48%
"Polyester crepe",W11,W11,W11,W,1,Woven,"Polyester","Lightweight, fine-gauge, plain weave, smooth, beige",1,None,NaN,130,46.5,6.76797300730538,1.01,1.005,0.98,0.965,0.925,0.84,0.81,0.78,0.73,0.665,0.605,0.555,0.475,0.48,NaN,NaN,
"Polycotton",W12,W12,W12,W,1,Woven,"Polyester","Polyester and cotton blend, medium weight, plain weave, yellow",1,None,NaN,112,29,9,0.98,0.98,0.96,0.94,0.92,0.87,0.83,0.81,0.78,0.74,0.68,0.59,0.6,0.61,0.22,NaN,132%
"Polycotton",W12,W12,W12 WDx10,W,1,Woven,"Polyester","Polyester and cotton blend, medium weight, plain weave, yellow",1,Laundered,NaN,112,24,12,0.98,0.97,0.95,0.93,0.9,0.85,0.82,0.8,0.75,0.68,0.65,0.52,0.34,0.22,0,0,
"Spandex PC",W13,W13,W13,W,1,Woven,"Polyester","Polyester, cotton and spandex blend, medium weight, fine-gauge, plain weave, light blue",1,None,0.23,125,57.5,11.3726342157681,0.97,0.96,0.905,0.875,0.815,0.71,0.64,0.595,0.52,0.415,0.335,0.2,0.13,0.04,0,0,
"Wool blend",W14,W14,W14,W,1,Woven,"Wool","Medium weight, woven brushed, blue",1,None,2.2,417,3,22,0.99,0.99,0.98,0.97,0.96,0.94,0.94,0.93,0.94,0.93,0.9,0.81,0.78,0.75,0.85,0.83,
"Melton wool",W15,W15,W15,W,1,Woven,"Wool","Medium weight, twill weave, brown",1,None,NaN,440,20,24,0.9,0.9,0.87,0.85,0.8,0.74,0.7,0.67,0.62,0.54,0.45,0.33,0.23,0.12,0.67,NaN,
"Melton wool",W15,W15,W15 WDx10,W,1,Woven,"Wool","Medium weight, twill weave, brown",1,Laundered,NaN,440,25,18,0.88,0.87,0.85,0.84,0.8,0.74,0.71,0.7,0.63,0.58,0.47,0.4,0.26,0.09,0,0,
"Silk",W16,W16,W16,W,1,Woven,"Silk","Natural silk, lightweight, plain weave, white",1,None,0.18,76,8,13.1700644572283,1,1.0033,0.9967,0.99,0.99,0.9633,0.9367,0.93,0.9,0.8667,0.7967,0.7433,0.6167,0.5733,0,NaN,214%
"Silk",W16,W16,W16 WDx10,W,1,Woven,"Silk","Natural silk, lightweight, plain weave, white",1,Laundered,NaN,76,7,30,0.97,0.96,0.94,0.93,0.9,0.88,0.86,0.83,0.81,0.77,0.72,0.73,0.6,0.16,0,0,
"Chiffon",W17,W17x6,W17x6,W,1,Woven,"Polyester","Polyester, very lightweight, plain weave",6,None,NaN,486,3,24,0.98,0.97,0.96,0.96,0.95,0.94,0.93,0.94,0.93,0.95,0.97,0.92,0.89,0.69,0,0,
"Kona",W18,W18,W18,W,1,Woven,"Kona cotton","Popular cotton, Model K001-840, Duckling, Broadcloth",1,None,NaN,154,43,11,0.9413,0.9168,0.8819,0.8584,0.8215,0.7339,0.6784,0.6636,0.6125,0.5692,0.4813,0.4,NaN,NaN,NaN,NaN,
"Kona",W18,W18x2,W18x2,W,1,Woven,"Kona cotton","Popular cotton, Model K001-840, Duckling, Broadcloth",2,None,NaN,308,102,11,0.8839,0.8261,0.7515,0.6919,0.6458,0.4869,0.4228,0.372,0.314,0.2064,0.1032,0.1695,0,0,0,NaN,
"Kona",W18,W18x3,W18x3,W,1,Woven,"Kona cotton","Popular cotton, Model K001-840, Duckling, Broadcloth",3,None,NaN,462,132,10,0.8659,0.8182,0.7534,0.6845,0.627,0.47,0.3825,0.3311,0.2687,0.1435,0.0881,0.1754,0,0,0,0,
"Kona",W18,W18x4,W18x4,W,1,Woven,"Kona cotton","Popular cotton, Model K001-840, Duckling, Broadcloth",4,None,NaN,616,183,10,0.8368,0.7906,0.7168,0.6373,0.5535,0.3873,0.2929,0.2359,0.1634,0.0716,0.0459,0,0,0,0,0,
