Pressure,Qual0.5,Qual1,Qual2,Qual5,Qual10,Qual20,Qual30,Qual50,Qual100,Qual200,Qual500,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
0.02,0.000999995,0.00199998,0.00399992,0.0099995,0.019998,0.039992001,0.059982004,0.099950017,0.199800133,0.399201066,0.995016625,,,,,,,,,,,,,,,,,,,
0.04,0.00199998,0.00399992,0.00799968,0.019998,0.039992001,0.079968009,0.119928029,0.199800133,0.399201066,0.796808516,1.980132669,,,,,,,,,,,,,,,,,,,
0.06,0.002999955,0.00599982,0.01199928,0.0299955,0.059982004,0.119928029,0.179838097,0.29955045,0.598203595,1.192828714,2.955446645,,,,,,,,,,,,,,,,,,,
0.08,0.00399992,0.00799968,0.01599872,0.039992001,0.079968009,0.159872068,0.23971223,0.399201066,0.796808516,1.587267994,3.921056085,,,,,,,,,,,,,,,,,,,
0.1,0.004999875,0.0099995,0.019998,0.049987502,0.099950017,0.199800133,0.29955045,0.498752081,0.995016625,1.980132669,4.87705755,,,,,,,,,,,,,,,,,,,
0.12,0.00599982,0.01199928,0.02399712,0.059982004,0.119928029,0.23971223,0.359352777,0.598203595,1.192828714,2.371429024,5.823546642,,,,,,,,,,,,,,,,,,,
0.14,0.006999755,0.01399902,0.02799608,0.069975506,0.139902046,0.279608366,0.419119234,0.697555707,1.390245574,2.76116332,6.760618009,,,,,,,,,,,,,,,,,,,
0.16,0.00799968,0.01599872,0.031994881,0.079968009,0.159872068,0.319488546,0.478849841,0.796808516,1.587267994,3.149341792,7.688365361,,,,,,,,,,,,,,,,,,,
0.18,0.008999595,0.01799838,0.035993521,0.089959512,0.179838097,0.359352777,0.538544621,0.895962123,1.783896764,3.535970652,8.606881473,,,,,,,,,,,,,,,,,,,
0.2,0.0099995,0.019998,0.039992001,0.099950017,0.199800133,0.399201066,0.598203595,0.995016625,1.980132669,3.921056085,9.516258196,,,,,,,,,,,,,,,,,,,
0.22,0.010999395,0.02199758,0.043990321,0.109939522,0.219758177,0.439033418,0.657826784,1.093972122,2.175976495,4.304604253,10.41658647,,,,,,,,,,,,,,,,,,,
0.24,0.01199928,0.02399712,0.047988482,0.119928029,0.23971223,0.478849841,0.71741421,1.192828714,2.371429024,4.686621292,11.30795633,,,,,,,,,,,,,,,,,,,
0.26,0.012999155,0.02599662,0.051986482,0.129915537,0.259662293,0.51865034,0.776965894,1.291586498,2.566491039,5.067113316,12.19045691,,,,,,,,,,,,,,,,,,,
0.28,0.01399902,0.02799608,0.055984323,0.139902046,0.279608366,0.558434923,0.836481858,1.390245574,2.76116332,5.446086411,13.06417646,,,,,,,,,,,,,,,,,,,
0.3,0.014998875,0.0299955,0.059982004,0.149887556,0.29955045,0.598203595,0.895962123,1.48880604,2.955446645,5.823546642,13.92920236,,,,,,,,,,,,,,,,,,,
